Product Name,Lock Period,Call Center Price,Rate,Investor Pricing,Srp
10000.25.001,60,100.385,5.375,104.6658895,1.141077674
10000.25.001,60,100.506,5.5,104.8980016,1.373189759
10000.25.001,60,100.628,5.625,105.1853516,1.681539774
10000.25.001,60,100.749,5.75,105.4880531,0.569303133
10000.25.001,60,101.384,5.875,105.7962478,0.881497841
10000.25.001,60,101.623,5.99,106.1644755,1.266725549
10000.25.001,60,N/A,6.125,N/A,1.425294924
10000.25.001,75,97.115,4.25,102.1695137,0.786648675
10000.25.001,75,97.754,4.375,102.7884578,1.409592796
10000.25.001,75,98.49,4.5,103.39198,1.987114975
10000.25.001,75,98.749,4.625,103.8574538,2.460588746
10000.25.001,75,98.867,4.75,103.5297634,0.754091215
10000.25.001,75,99.499,4.875,104.0197119,1.253039691
10000.25.001,75,99.75,4.99,104.3426843,1.56501208
10000.25.001,75,100,5.125,104.874631,2.11895873
10000.25.001,75,100.124,5.25,104.1647911,0.757979239
10000.25.001,75,100.259,5.375,104.5468895,1.152077674
10000.25.001,75,100.382,5.5,104.7720016,1.369189759
10000.25.001,75,100.499,5.625,105.0633516,1.678539774
10000.25.001,75,100.625,5.75,105.3580531,0.580303133
10000.25.001,75,101.241,5.875,105.6772478,0.888497841
10000.25.001,75,101.495,5.99,106.0504755,1.263725549
10000.25.001,75,N/A,6.125,N/A,1.434294924
10000.30.001,15,97.619,4.25,102.6725137,0.784648675
10000.30.001,15,98.25,4.375,103.2904578,1.398592796
10000.30.001,15,99.008,4.5,103.89398,1.990114975
10000.30.001,15,99.254,4.625,104.3734538,2.457588746
10000.30.001,15,99.372,4.75,104.0367634,0.760091215
10000.30.001,15,100,4.875,104.5167119,1.250039691
10000.30.001,15,100.255,4.99,104.8356843,1.56801208
10000.30.001,15,100.505,5.125,105.389631,2.11795873
10000.30.001,15,100.631,5.25,104.6647911,0.755979239
10000.30.001,15,100.75,5.375,105.0428895,1.152077674
10000.30.001,15,100.879,5.5,105.2590016,1.370189759
10000.30.001,15,100.997,5.625,105.5763516,1.679539774
10000.30.001,15,101.117,5.75,105.8580531,0.568303133
10000.30.001,15,101.75,5.875,106.1682478,0.890497841
10000.30.001,15,102.01,5.99,106.5444755,1.260725549
10000.30.001,15,N/A,6.125,N/A,1.436294924
10000.30.001,30,97.497,4.25,102.5585137,0.788648675
10000.30.001,30,98.123,4.375,103.1814578,1.400592796
10000.30.001,30,98.875,4.5,103.76398,1.987114975
10000.30.001,30,99.133,4.625,104.2364538,2.462588746
10000.30.001,30,99.259,4.75,103.9077634,0.763091215
10000.30.001,30,99.883,4.875,104.3997119,1.259039691
10000.30.001,30,100.125,4.99,104.7156843,1.56501208
10000.30.001,30,100.381,5.125,105.259631,2.09895873
10000.30.001,30,100.502,5.25,104.5377911,0.756979239
10000.30.001,30,100.620,5.375,104.9258895,1.151077674
10000.30.001,30,100.756,5.5,105.1400016,1.368189759
10000.30.001,30,100.866,5.625,105.4453516,1.674539774
10000.30.001,30,101.002,5.75,105.7310531,0.581303133
10000.30.001,30,101.619,5.875,106.0492478,0.874497841
10000.30.001,30,101.871,5.99,106.4344755,1.256725549
10000.30.001,30,N/A,6.125,N/A,1.437294924
10000.30.001,35,97.453,4.25,102.5105137,0.782648675
10000.30.001,35,98.084,4.375,103.1334578,1.392592796
10000.30.001,35,98.839,4.5,103.71698,1.991114975
10000.30.001,35,99.085,4.625,104.1904538,2.473588746
10000.30.001,35,99.214,4.75,103.8547634,0.750091215
10000.30.001,35,99.827,4.875,104.3587119,1.251039691
10000.30.001,35,100.075,4.99,104.6826843,1.57501208
10000.30.001,35,100.341,5.125,105.207631,2.10595873
